Equipment Name,Equipment Type,Flowrate,Pressure,Temperature
Reactor-A1,Reactor,150.5,45.2,120.3
Pump-B2,Pump,200.0,60.5,85.7
Heat Exchanger-C3,Heat Exchanger,180.3,55.0,95.2
Distillation Column-D4,Distillation Column,220.8,70.1,110.5
Reactor-A2,Reactor,145.2,43.8,118.9
Pump-B3,Pump,195.5,58.3,83.4
Compressor-E5,Compressor,250.0,80.0,130.5
Heat Exchanger-C4,Heat Exchanger,175.6,52.7,92.8
Mixer-F6,Mixer,160.0,48.5,100.0
Reactor-A3,Reactor,155.3,46.9,122.1
Pump-B4,Pump,205.2,62.0,87.3
Separator-G7,Separator,190.0,65.5,105.8
Heat Exchanger-C5,Heat Exchanger,182.4,54.2,94.5
Distillation Column-D5,Distillation Column,215.0,68.8,108.2
Compressor-E6,Compressor,245.5,78.3,128.9
Reactor-A4,Reactor,148.8,44.5,119.7
Pump-B5,Pump,198.0,59.2,84.6
Mixer-F7,Mixer,165.3,49.8,102.3
Heat Exchanger-C6,Heat Exchanger,178.9,53.5,93.7
Separator-G8,Separator,185.5,63.9,104.2
