Equipment Name,Equipment Type,Flowrate,Pressure,Temperature
Reactor-A1,Reactor,150.5,45.2,120.3
Pump-B1,Pump,200.0,60.5,85.7
Heat Exchanger-C1,Heat Exchanger,180.3,55.0,95.2
Distillation Column-D1,Distillation Column,220.8,70.1,110.5
Compressor-E1,Compressor,250.0,80.0,130.5
Mixer-F1,Mixer,160.0,48.5,100.0
Separator-G1,Separator,190.0,65.5,105.8
Reactor-A2,Reactor,145.2,43.8,118.9
Pump-B2,Pump,195.5,58.3,83.4
Heat Exchanger-C2,Heat Exchanger,175.6,52.7,92.8
Distillation Column-D2,Distillation Column,215.0,68.8,108.2
Compressor-E2,Compressor,245.5,78.3,128.9
Mixer-F2,Mixer,165.3,49.8,102.3
Separator-G2,Separator,185.5,63.9,104.2
Reactor-A3,Reactor,155.3,46.9,122.1
Pump-B3,Pump,205.2,62.0,87.3
Heat Exchanger-C3,Heat Exchanger,182.4,54.2,94.5
Distillation Column-D3,Distillation Column,218.0,69.5,109.8
Compressor-E3,Compressor,252.0,81.5,131.2
Mixer-F3,Mixer,162.5,49.0,101.2
Separator-G3,Separator,192.5,66.2,106.5
Reactor-A4,Reactor,148.8,44.5,119.7
Pump-B4,Pump,198.0,59.2,84.6
Heat Exchanger-C4,Heat Exchanger,178.9,53.5,93.7
Distillation Column-D4,Distillation Column,222.5,71.0,111.2
Compressor-E4,Compressor,248.0,79.5,129.5
Mixer-F4,Mixer,164.0,50.2,103.0
Separator-G4,Separator,188.0,64.5,105.0
Reactor-A5,Reactor,152.1,45.5,120.5
Pump-B5,Pump,201.2,60.8,86.1
Heat Exchanger-C5,Heat Exchanger,181.5,55.3,95.5
Distillation Column-D5,Distillation Column,221.4,70.5,110.9
Compressor-E5,Compressor,251.3,80.5,130.8
Mixer-F5,Mixer,161.4,48.9,100.5
Separator-G5,Separator,191.2,65.8,106.1
Reactor-A6,Reactor,146.5,44.1,119.2
Pump-B6,Pump,196.8,58.6,83.8
Heat Exchanger-C6,Heat Exchanger,176.5,52.9,93.1
Distillation Column-D6,Distillation Column,216.4,69.1,108.5
Compressor-E6,Compressor,246.8,78.6,129.2
Mixer-F6,Mixer,166.5,50.1,102.6
Separator-G6,Separator,186.4,64.2,104.5
Reactor-A7,Reactor,156.4,47.2,122.5
Pump-B7,Pump,206.5,62.3,87.6
Heat Exchanger-C7,Heat Exchanger,183.6,54.5,94.8
Distillation Column-D7,Distillation Column,219.4,69.8,110.1
Compressor-E7,Compressor,253.2,81.8,131.5
Mixer-F7,Mixer,163.7,49.3,101.5
Separator-G7,Separator,193.8,66.5,106.8
